primary_subject,complaint_narrative,scam_type,website
wealthtutor.com,"A California resident reports on their experience with the purported crypto asset trading platform on the website https://www.xcrypto.global/xcrypto/. The victim deposited crypto assets on the platform in order to trade, but when they tried to withdraw their funds, the website blocked it. The resident has been unable to recover any of their funds and the website is no longer operational. All told, the victim lost approximately $26,000 on the platform.",Fraudulent Trading Platform,https://www.xcrypto.global/xcrypto/
YSPA Crypto,"A California resident reports learning about the crypto asset trading platform, YSPA Crypto (http://wap.yspacrypto.co), from “Lena” who claimed she would provide trading signals to make profits. Further, Lena said that the more money the resident put into YSPA Crypto, the higher they would be ranked. But when the victim began trading, their account showed a loss. The victim told Lena, who then disappeared. The victim has been unable to withdraw their funds, and the website is no longer operational.",Investment Group ScamFraudulent Trading Platform,http://wap.yspacrypto.co
xplivetrade.com,"A California resident reports that they were contacted on Facebook by someone asking if they would like to invest in cryptocurrency. After viewing the individual’s Facebook profile, filled with testimonials from other individuals purchasing new cars and houses crediting the platform, the resident reached out saying they were interested. The individual instructed the victim how to open an account to begin trading on the crypto asset trading platform operating at xplivetrade.com, promising a return of $5,500 in three days. After three days, the victim’s account on the platform showed a profit of $60,000. But when the victim tried to withdraw funds, the platform demanded 15% of the earnings. The victim paid, but the platform demanded another $7,000 fee to convert the crypto assets to cash. The victim reached out to the person they met on Facebook, who said if the victim gave them $1,500 they would get the money back in their bank account in 20 minutes. The victim refused, and has been unable to withdraw their funds from xplivetrade.com. The website is no longer operational.",Pig Butchering ScamFraudulent Trading Platform,xplivetrade.com
CBMWW.combittisport.comnvbit.ccfrbit.cc,"Two California residents report about their experience with the crypto asset trading platform, CBMWW, operating at wwww.cbmww.com.The first California resident indicated they were messaged on Facebook by someone claiming to be a crypto investor. The Facebook investor asked to move the conversations over to WhatsApp, and then presented an investment opportunity involving bitcoin trades, promising high returns. All told the victim invested more than$400,000 and stated that they can no longer access their cryptocurrency. The victim reports the domain name changed several times, and reports encountering the following domains:bittisport.com, nvbit.cc, frbit.cc, cbmww.comThe second California resident reports being approached by “Yinan” on Facebook. Yinan told the resident she had a successful business and was planning to retire early. When the resident inquired about this, Yinan claimed to have an uncle who managed a team of analysts that could determine which crypto asset to invest. Yinan showed business statements to the resident to prove she had made solid returns. Yinan then directed the resident to open an account on the crypto asset trading platform, CBMWW, operating at www.cbmww.com. The victim initially invested and was able to withdraw their first profit of $1,000. After that Yinan enticed the resident to deposit more funds, claiming she would regularly provide information about upcoming markets to trade in along. At one point, the resident believed that their account had grown to more than $1 million. But when they tried to withdraw funds, the platform’s customer support demanded the resident pay the “Cryptocurrency Regulatory Authority” a $260,000 tax . Yinan offered to help pay half of the tax, but the victim realized she was only trying to gain access to their crypto asset wallet. All told, the resident lost over $179,000. The websites are no longer operational.The resident reported sending cryptocurrency to the following wallet addresses:0xb1ee662001a0247270b282e03cfc0c86642babec0xa5fe0f74911715f5d6290d39da823c8e15986554",Pig Butchering ScamFraudulent Trading Platform,CBMWW.combittisport.comnvbit.ccfrbit.cc
Tesladigital.us (Entity Impersonating Tesla),"A California resident reports encountering a crypto coin offering offered at the web domain, Tesladigital.us. The website touted plans to go public, but continually push back the coin’s anticipated launch date. At one point, the website claimed there were only two days left to purchase “Teslacoin” (TES) as an early investor before it would close for 6 months. The victim decided to invest at $0.95 a share. Later the webiste claimed ES had increased to $17.57 which led the victim to believe their investment was worth $175,000. However, the when the victim tried to withdraw  funds, the website claimed the shares were restricted until the offering goes public. The resident been unable to recover their funds and the website is no longer operational.This is not to be confused with Tesla or any of its ongoing products and services at https://www.tesla.com/. The DFPI warns consumers to remain vigilant against scams fraudulently using the Tesla name, brand, or likeness to promote fake investment opportunities or giveaways. These schemes often appear on social media or spoofed websites, falsely claiming affiliation with Tesla or its executives, and may promise guaranteed returns, free cryptocurrency, or exclusive investment offers. The DFPI encourages consumers to verify the legitimacy of an investment opportunity before sending funds and reporting suspicious activity to the appropriate financial authorities.",Rug Pull ScamFraudulent Trading Platform,Tesladigital.us
Octal CapitalOctal-capital.com,"A California resident reports on their experience with the crypto asset trading platform, Octal Capital, at octal-capital.com. The resident started with a small investment of less than $200 and believed the account  grew to more than $83,000 on the platform. But when the victim tried withdraw their funds, a representative from the platform said they needed to purchase additional “programs” before they could make a withdrawal and offered the $43,000 “Mega Plan.” The victim sent funds to purchase the Mega Plan, but when they tried to withdraw their funds from the platform, it demanded an additional $5,000 payment for “gas fees.” The platform instructed the victim to send crypto assets the following wallet address: 0xcfE181465c0c750F3d914bb9a9805e96a6d6AbDa.The victim paid, but then learned the platform transferred their funds to an address on a different blockchain network. The victim contacted the platform and spoke with ""Sagar,"" who claimed to be a representative of the platform. However, Sagar demanded a “tax percentage fee” as a condition of unlocking the funds. The victim has been unable to recover their funds and the website is no longer in operation.",Fraudulent Trading Platform,Octal-capital.com
hikkod.com,"A California resident reports meeting an individual on a dating app who then suggested moving the conversation to WhatsApp where their relationship developed. At some point, the individual convinced the victim to invest in a crypto asset trading platform, at Hikkod.com. Following the individual’s instruction, the victim opened an account and transferred money to the platform. The individual claimed to have hired an analyst to provide tips in trading crypto options. Following these tips, the victim believed their $15,000 investment had increased to $17,000 and was able to withdraw $1,000. The victim continued to trade until they believed their account had grown to more than $570,000. But, when the victim tried to withdraw the funds, the platform demanded a “tax payment” fee of $20,000. The victim has been unable to recover their remaining funds and the website is no longer operational.The victim reports sending crypto assets to the scammer at the following wallet address: 0xe89107246a3808602ad4946f485ec4bad51045b7",Pig Butchering ScamFraudulent Trading Platform,Hikkod.com
globalcryptous.com,"A California resident reports being contacted via telegram about the crypto asset platform, globalcryptous.com. The victim invested over $900,000. But, when the victim tried to withdraw the funds, the platform demanded a “gas fee” of $45,000. The victim has been unable to recover their funds. The website is not operational.",Pig Butchering ScamFraudulent Trading Platform,http://globalcryptous.com
Dex defi,"A California consumer was introduced to short-term crypto asset trading by a person calling themselves Caroline. Following Caroline’s instructions, the victim transferred crypto assets from their wallet to an online crypto trading platform called Dex Defi, located at  www.dex-defi.com. After some time, the consumer thought they were making trading profits. But when they tried to withdraw funds, the platform’s customer service informed the consumer that the account had “insufficient turnover” and required additional trading before any withdrawal could be processed.The consumer then executed several trades to satisfy this requirement. But when they tried to make another withdrawal, the platform’s customer service demanded $9,000 in “profit taxes” before allowing any funds to be released.The platform’s website is no longer in operation, and the consumer has not recovered any funds deposited on the platform.",Fraudulent Trading Platform,www.dex-defi.com
GCRA 2024,"A California consumer reports on their experience with the crypto trading platform called GCRA, or gcra2024.com. Believing that they had earned profits trading in their account, the consumer requested a withdrawal. But GCRA customer service demanded a 10% margin deposit of $800 before it would release funds. The consumer deposited $800, but the withdrawal was never processed. The site is no longer in operation, and the consumer has not retrieved any of their funds.",Fraudulent Trading Platform,gcra2024.com
BK Chain Tops,"A California consumer was contacted via WhatsApp by “Chris,” who claimed he worked as an engineer and traded crypto assets on the side. Chris instructed the consumer to install a Wallet app and add the platform bkchaintops.com.Over the course of two months, the consumer wired assets to an international bank in Vietnam to invest on the platform. Initial small deposits appeared to yield returns, encouraging the consumer to make further deposits. Concurrently, Chris pressured the consumer into making additional deposits, promising high rates of profit. Chris also convinced the consumer to enroll in a subscription after the platform threatened to freeze their assets unless they deposited more money.The victim followed Chris’s instructions, but when they tried to withdraw funds, the platform displayed a “processing” status, and customer service claimed the account was flagged for suspected money laundering and demanded the victim deposit 30% of the total balance and additional funds to unfreeze the account. The consumer refused and has not recovered any of their deposits. The site is no longer in operation. All told, the victim lost more than $300,000.",Fraudulent Trading Platform,bkchaintops.com.
Cometa Global Limited,"A California resident reports on their experience investing in an online commodity company called Cometa Global Limited operating at http://info@cometaglobal.email. After investing on the company’s online platform, the resident tried to make a withdrawal. The platform demanded they pay a “security risk management fee”. Despite paying the fee on multiple occasions, the resident has yet been able to withdraw any funds. At this point, the resident realized this to be a scam and reported the incident. The victim has been unable to retrieve their funds from the platform. The website is no longer operational. All told they lost more than $130,000 including the fees.",Fraudulent Trading Platform,cometa-global.com
CWGmain,"A California resident reports meeting “Yilin” online, who promised an investment opportunity for “electric gold”, a type of digital gold currency. Following Yilin’s instructions, the resident wired money to theFraudulent Trading Platform“CWG Main”. At one point, the resident believed their account had grown to approximately $289,000 on the platform. But when they tried to withdraw funds, the platform demanded they pay $49,000 for “taxes” to withdraw their funds. The resident has been unable to recover any funds and the website is no longer operational. All told the victim lost more than $91,000 on the platform.",Pig Butchering ScamFraudulent Trading Platform,CWGMain.cc
fourggearstools.comfourgventures.comregul-finance.comFourG Ventures,"A resident received a brokerage company advertisement via social media. After responding to the advertisement, ”Anastasia” contacted the victim via  WhatsApp claiming to be an advisor and convinced them to join the trading platform, fourgearstools.com. “Alexy” contacted the victim on WhatsApp claiming to be an advisor for “fourgearstools.com”. Following Alexey’s instructions, the victim transferred crypto assets onto the platform. But when they tried to withdraw funds, the platform demanded they pay $3,838 to “clear a transaction linked with AML (anti-money laundering) violations”. The resident has been unable to retrieve any of their funds and the website is no longer operational. All told the victim, lost $8,636.69 on the platform.The domain, fourgearstools.com, has been seized by the Kings County District Attorney's Office in New York and the New York Department of Financial Services.",Pig Butchering ScamFraudulent Trading Platform,fourggearstools.comfourgventures.comregul-finance.com
cbesx.com,"A California victim reports receivingan email from “Mr. Benjamin” who claimed to be part of a finance team for an investment company called CBESX. The victim responded, and Mr. Benjamin instructed the victim how to open an account on the CBESX platform at http://cbesx.com/ to trade crypto assets. The victim sent money to the account and began trading, and at one point, believed their account had grown to more than $230,000. But when the victim tried to withdraw funds from the platform, the platform demanded they pay a 10% commission fee,totalling $23,000, to the crypto asset wallet USDT ERC20 at: 0x6203BD87e38D994B96Da5e106F1eD7B55019a693. The victim paid but has not able to withdraw their money. The website is no longer operational.",Fraudulent Trading Platform,cbesx.com
Crypto-rd.top(Entity impersonating Crypto.com),"Two California consumers report on their experience with the crypto asset trading platform crypto-rd.top.The first victim was introduced to cryptocurrency trading by an acquaintance who directed them to a DeFi Wallet platform located at Crypto-rd.top. The victim opened an account on the platform and began trading. But when the victim tried to access their funds, the platform demanded multiple fees including a platform fee, a “Know Your Customer” fee, and a “maintenance” fee, and another fee to release assets through the European Securities and Exchange Commission before they would release the funds. The victim has been unable to access any of their funds.The consumer sent BTC to 3ES9qFnB35pTYV6frG59AUtgCtDMCKZ6nu and ETH to 0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639.The second victim lost access to their Crypto-rd.top platform wallet but then received a letter from “Rafael,” who claimed their wallet access would be fully restored if they paid the platform $75,000. The victim paid but did not regain access to their account and remain unable to withdraw any funds. The platform is no longer in operation.This is not to confused with legitimate crypo exchange, Crypto.com.",Pig Butchering ScamFraudulent Trading Platform,www.crypto-rd.top
RIOT Blockchain (Entity impersonating Riot Platforms),"A California resident reports they were contacted by Diana via WhatsApp, who offered thema job as a freelance crypto asset miner for the RIOT Blockchain platform, with no restrictions or set schedule and the ability to work remotely. The victim accepted the offer, completed all their training and was ready to begin working as a miner. At that point, the platform demandedthe victim deposit their own funds first. The victim did so and worked daily, getting rewards for completing each task. However, the platform kept asking the victim to deposit increasing amounts of their own money to continue working. Further, the platform wouldn’t allow withdrawals unless the victim increased their “credibility rating” by depositing more funds. Eventually, the victim had to borrow money to continue to be able to work on the RIOT mining platform. Despite depositing nearly $81,000, the platform never allowed the victim to withdraw their funds.This is not to be confused with the investment company, Riot Platforms at https://www.riotplatforms.com/",Pig Butchering ScamCrypto Job Scam,
cbotbit.com,"A California resident met “Lin” through WhatsApp who steered the conversation to investing in crypto assets. Lin directed the victim to the crypto asset trading platform, CBOTBIT, located at https://cbotbit.com and showed them how to open an account and transfer funds. Following Lin’s instructions for trading, the victim believed their  account had grown substantially. But when the victimtried to withdraw funds from the platform, they were unable to do so. The website is no longer operational.  All told, the victim believed they lost more than $40,000.",Pig Butchering ScamFraudulent Trading Platform,https://cbotbit.com
Cypo,"A Californian reports on a crypto asset trading site known as “Cypo”, located at eth-cryp.com.  The victim was introduced to the site by a woman they met on a dating app.  The woman communicated with the victim on WhatsApp and also had several video calls with the victim.  In the calls, the woman showed the victim her crypto investment strategy, which she claimed would work whether crypto prices went up or down.  The woman asked the victim to invest with her on eth-cryp.com, so she could help them earn money using her strategy.  The victim decided to invest $34,000 and over time, believed the trading strategy made them over $150,000.  However, when the victim tried to withdraw profits, they were told they first had to pay $31,000 in taxes on their investment, and that this payment could not be deducted from their account balance.  The victim was eventually able to withdraw $2,000, but they could not access the rest of their funds.  The site is no longer operational.",Pig Butchering ScamFraudulent Trading Platform,https://eth-cryp.com/#/exp.gs-cdn.com
avtocoin.com,"A Californian resident reports on their experience with a crypto asset trading site operating at avtocoin.com.  The resident transferred over $6,000 to the site to trade cryptocurrency.  When the resident tried to withdraw their money, the platform said their account was suspended for 30 days due to “suspicious activity”.  The resident has been unable to recover any of their money, and the site is no longer operational.",Fraudulent Trading Platform,avtocoin.com
Eagle Crest Asset Management,"Multiple California residents reported participating in a wealth management course offered by Eagle Crest Asset Management (ECAM), led by an individual identified as “Ridel.” The course focused on stocks and crypto assets trading. The residentswere instructed to open accounts on the crypto asset trading platform operating at OK-Coin (ok-coin.com), QamCoin.com, and Coin-Rush.com.ECAM provided investors with $500 to begin trading. The residents opened accounts and believed they were making profits trading this initial amount. Encouraged by these results, the residents invested their own money and again appeared to earn substantial returns. But when they tried to withdraw funds, the platform demanded commissions taxes, or fees ranging from 8% to 15% of the value of the account. Despite paying these fees, none of the individuals have been able to recover their investments, and none of the associated websites are currently operational.",Fraudulent Trading PlatformPig Butchering Scam,ok-coin.comQamCoin.comCoin-Rush.com
crypen.com,"Multiple California residents report on their experience with a fraudulent crytocurrency trading platform at crypen.com. The residents report joining a WhatsApp group named “Techcrisis Investment Guild.” The group recommended the residents to invest in “TGD” tokens on the platform. Following the group's recommendation, the residents created a crypen.com account and invested funds to purchase “TGD” tokens. However, when the residents attempted to withdraw funds from the platform, their requests were denied unless they paid a ""fee."" The residents have not recovered their funds. Crypen.com is no longer operational.",Fraudulent Trading Platform,crypen.com
defiwa11etbch.comdefie-v2.com,"A California resident reports they were approached online by “Melissa” who steered the conversation over to WhatsApp. Melissa claimed to have inherited crypto assets, which she used to support various non-profit organizations. Melissa offered to help the resident invest in crypto assets and showed the resident how to open an account on the crypto asset trading platform operating at https://www.defiwa11etbch.com and https://defie-v2.com. Melissa then provided the resident trading signals to make short term trades, saying she could predict the market. The resident traded based on Melissa's signals on the platform for a few weeks, but when the resident tried to withdraw funds from the platform, they were unable to do so. Then, Melissa cut off all communications. The resident has been unable to recover their funds, and the websites are no longer operational. All told, the resident lost $700,000 on the platform.",Fraudulent Trading PlatformRomance Scam,defiwa11etbch.comdefie-v2.com
lbmaex.xyz,"A California resident reports that they met an individual on Instagram. The individual presented themselves as a young millionaire that resided in New York. The individual convinced the resident to register for a website called “LBMA” to trade“gold spots”. The individual then taught the resident how to transfer cryptocurrency to a fraudulent crypto asset tradingplatform operating at lbmaex.xyz (LBMA).  The resident followed those instructions, and after each transfer to lbmaex.xyz, the individual would “match” the resident’s deposits to increase the resident's trading capacity. In addition, the individual persuaded the resident to liquidate their retirement accounts to invest on lbmaex.xyz. After their largest deposit, the resident attempted to withdraw their funds from the platform, but the platform informed the resident that they could not do so without paying “taxes”. The resident has not paid the “taxes” and has not recovered their funds. lbmaex.xyz is not operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,lbmaex.xyz
rwanexus.io,"A California resident reports being approached on WhatsApp by “Yuxuan”, who introduced the resident to the crypto asset trading platform, RWA Nexus, operating at http://rwanexus.io/ as a way to earn profits through crypto asset trading. Yuxuan showed the resident how to open an account to trade crypto assets for profit and begin trading. Over the course of a few weeks, Yuxuan encouraged the resident to deposit more money onto the platform. But when the resident tried to withdraw funds, the platform said that their account had been flagged for suspicious activity and would be frozen unless they paid 5% of value of their account to cover an “audit fee”. The resident paid, but the platform demanded that they pay another 5% fee to recover their assets. The resident has been unable to recover their funds, and the website is no longer operational. All told, the resident lost at least $300,000.",Fraudulent Trading PlatformPig Butchering Scam,rwanexus.io
Oaktree-ex.com,"A California resident reports joining a group online called “CO6 Dr. Johnson’s Investment Education Institute.” The resident reports that the group provided information on trading cryptocurrency and provided different trading signals to trade cryptocurrency. The group instructed the resident to open an account on the crypto asset trading platform operating at oaktree-ex.com. The group encouraged the resident to put more money on the platform to make more profits, and the account indeed appeared to grow. But when the resident tried to withdraw some funds, the platform demanded they pay a “fee” to a charity. The resident paid the fee but has not been able to withdraw their funds. All told, the resident lost at least $40,000 and the website is no longer operational.",Fraudulent Trading PlatformInvestment Group Scam,Oaktree-ex.com
fastscryptoteam.com,"A California resident reports being contacted by an individual online who expressed interest in forming a relationship, but insisted they couldn’t meet until the resident had enough money. The individual then persuaded the resident to open an account on the crypto asset trading platform operating at fastcryptoteam.com. The resident did so and began trading and was even able to withdraw a small amount from the platform. After investing cryptocurrency onto the platform, the resident traced the Bitcoin wallet address where they sent funds, and discovered that the wallet address was not under their control. $30,000 of cryptocurrnecy was then transferred out from the address where the resident transferred cryptocurrency initially to another wallet address not under the resident's control.  The website is no longer operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,fastscryptoteam.com
Fortress AI Train,"A California resident was invited to join an online crypto asset trading groupnamed ""Fortress AI Train"" on WhatsApp. The group instructed the resident to open an account on the crypto asset trading platform operating at cryptoaiml.vip. The resident opened an account and deposited funds. Then the resident was encouraged to invest more funds to join the “VIP” group. The resident invested funds to join the “VIP” group, but the platform sent an email stating that they received a lawsuit from a governmental regulatory agency alleging that the resident’s account was suspected of “malicious market manipulation” and demanded a “fine”. The resident paid the fine but the platform then demanded more fees. The resident has been unable to withdraw their funds and the website is no longer operational. All told, the resident lost more than $30,000.",Fraudulent Trading PlatformInvestment Group Scam,cryptoaiml.vip
twaaos.com,"A California resident reports they were approached through a communication app by an individual who convinced them to open an account on the crypto asset trading platform operating at twaaos.com. The resident did so and made some small trades, and was even were able to withdraw some of their funds. Encouraged, the resident invested more money on the platform. But when the resident tried to withdraw a larger amount, the platform told the resident that their funds were locked and demanded they pay “mining fees” of 10% of the transaction. The resident did not pay the “mining fees” and has not been able to withdraw their funds.  The website is no longer operational.",Fraudulent Trading Platform,twaaos.com
dconchain.net,"A California resident reports that an individual they met online showed them how to invest on the crypto asset trading platform operating at dconchain.net. The resident did so, but when they tried to withdraw some funds, their request was denied and the platform demanded they pay a tax. The resident paid, but the platform claimed it had placed them in a queue of 83,000 people and to bypass the queue, they would have to pay an additional $8,000. The resident did not pay and has been unable to recover their funds from the platform.  The website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,dconchain.net
jgyfgroup.co,"A California resident reports learning about the crypto asset trading platform operating at jgfygroup.co through a WhatsApp Group. The group instructed the resident to open an account on the platform and let “Bill” to manage it. The resident believed that Bill was making profits for them through crypto assets trading, but when they tried to withdraw some funds, their request was denied and “Bill” demanded a “service fee” before releasing the funds. The resident paid, but “Bill” demanded the resident to pay an additional $15,000 to comply with Know Your Customer (KYC) rules. Again the resident paid but still could not withdraw their funds. The resident has been unable to recover any of their funds from the platform and the website is no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,jgyfgroup.co
btcschg.com,"A California resident reports on their experience with a crypto asset trading platform operating at btcschg.com. The resident joined a Whatsapp group named ""BTCS"" and the group encouraged the resident to open an account on the crypto asset trading platform at btcschg.com. The resident opened an account and invested funds based on the group's representation that it would provide trading signals to them and other group members.  Following the initial deposit, the group told the resident they needed to transfer more funds onto the platform to earn more rewards. The resident transferred as much additional funding as they could to the platform; however, the group informed the resident that they should contribute even more and offered to loan them the money.At some point, the group demanded that the resident pay the loan back. The resident has been unable to recover any of their money from the platform and the website is no longer operational.",Fraudulent Trading PlatformInvestment Group Scam,btcschg.com
accgn.club,"A California resident reports about their experience with the online trading platform located at AccGN.club, a site that claimed to use Artifical Intelligence to trade crypto assets. The resident opened an account on the platform, began trading,and was even able to withdraw funds for a period of time. But then the platform blocked their latest withdrawal request. The resident has not been able to recover their remaining funds from the platform, and the website is no longer operational. All told, they lost $2,400 on the platform. The resident reports sending crypto assets to the following wallet address: 0x92275b6cc254b68a6bcc9c76be198264cdabdf94",Fraudulent Trading Platform,accgn.club
iwebcoin.comSBDCCOIN,"A California resident reports being approached by “Amy” on WhatsApp who invited them to join a group chat to learn how to trade crypto assets. Under Amy’s direction, the resident downloaded an app, SBDCCOIN, and was told to follow the trading signals provided by “Professor Andy”. The resident transferred crypto assets to the app and at one point believed their account had grown to more than $1 million. But when they tried to withdraw funds, the platform demanded they pay a 20% tax due to the IRS before releasing the funds. The resident paid the tax to the platform, but then the platform said the funds would only be released if the resident opened another account on the crypto asset trading platform located at www.iwebcoin.com. The resident has been unable to recover their funds and the app and websites are no longer operational. All told, the resident lost at least $180,000.",Fraudulent Trading PlatformPig Butchering Scam,iwebcoin.com
topexs.us,"A California resident reports they were approached online by someone who coached them on how to create an account on the crypto asset trading platform located at Topexs.us. The resident opened an account on the platform, deposited funds, and believed they were generating profits. The resident was also encouraged to take out loans to invest more and did so.  However, when the resident attempted to withdraw funds from the platform, their request was deneid and they were unable to access the funds.   Now, the resident cannot withdraw any of their money from the platform, which is no longer operational. All told the resident lost more than $5 million.",Fraudulent Trading PlatformPig Butchering Scam,topexs.us
ctante.com,"A California reports on the experience with the crypto asset trading platform, Chain Trade LTD, operating at ctante.com. The resident opened an account on the platform and believed they were trading crypto assets, though in fact they were not. But When the resident tried to withdraw funds, the platform’s customer service said the account was frozen. The resident has not been able to recover any funds from the platform and the website is no longer operational.",Fraudulent Trading Platform,ctante.com
milkyway-fx.vip,"A California resident reports they were approached by “Jo Anna” on WhatsApp who claimed to live in Seattle and manage multiple beauty parlors. After some conversation, Jo Anna steered the conversation to trading in crypto assets. Jo Anna directed the resident to open an account on the trading platform, Milky Way Forex, operating at http://milkyway-fx.vip/. Following Jo Anna’s instructions, the resident believed they were making significant profits through options trading with intervals as short as 30 seconds. But then the platform informed the resident that their said the account was frozen due to “insider trading”, and demanded the resident pay a significant fee to unfreeze it. The resident paid, but the platform continued todemand more and more fees. The resident has not been able to withdraw any funds from the platform and the website is no longer operational.  All told, the resident lost more than $340,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,milkyway-fx.vip
cry-pthluoos.com (Entity is impersonating Crypto.com),"A California resident reports being approached by “Tonya” on Facebook dating. After starting a relationship, Tonya introduced the resident to investing in crypto and introduced them to the crypto asset options trading platform operating at http://cry-pthluoos.com/. Following Tonya’s instructions, the resident believed they were earning lots of money trading on the platform. But when theresident tried to withdraw funds, the platform demanded them to pay a tax equal to 15% of the account value. The resident paid, but the platform demanded they deposit more money on the platform. The resident has been unable to withdraw any of their funds from the platform and the website is no longer operational.",Fraudulent Trading Platform,cry-pthluoos.com
zesowex.com,"A California resident reports on their experience with an online crypto gambling site operating at http://zesowex.com. The resident sent crypto assets to an account on the website. But when they tried to withdraw funds, the site demanded they deposit additional funds to clear “errors” associated with the account.  The resident paid, but the site demanded more payments. The resident has been unable to recover any of their funds and the website is no longer operational.",Fraudulent Trading Platform,zesowex.com
exponentialstocks.ltd,"A California resident reports that an individual contacted them on WhatsApp claiming to assist in investing and retiring safely. The individual told the resident about a crypto asset  trading platform operating at exponentialstocks.ltd and instructed the resident on how to open an account and invest money there. The resident believed they were making profitable trades, but when they tried to withdraw some funds, the individual  demanded a 10% “fee” before releasing the funds. The resident paid the “fee” but still could not withdraw their money. The individual then told the resident to contact “Jennifer.” “Jennifer” then demanded an additional amount in “fees.” The resident paid but has not received their money back. The website is no longer operational.",Fraudulent Trading Platform,exponentialstocks.ltd
Coggie.comH5.Coggie.vip,"A California resident reports on their experience with the crypto asset trading platforms Coggie.com and H5.Coggie.vip. After being approached by an individual online, the resident invested their retirement funds onto these platforms but now cannot withdraw their funds. The websites are no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,Coggie.comH5.Coggie.vip
Bit Pros bitpros.app,"A California resident reports on their experience with the crypto asset trading platform operating at bitpros.app. The resident believed they were earning profits trading in variouscryptoassets on the platform. But when the resident attempted to withdraw some of their funds, the platform demanded they pay $5,000 in “taxes” on their earnings. The resident paid, but then the platform demanded $2,000 as an “upgrade fee”. Again, the resident paid, but has not been able to recover their money, and the website is no longer operational. All told, the resident lost more $17,000.",Fraudulent Trading Platform,bitpros.app
Onchain Wallet,"MultipleCalifornia residents report on their experience with a crypto asset trading platform called ""Onchain Wallet,"" operating at the websites onchainiy.com, onchain-bit.com, onchainwallet.info, and nad-ex.com.  The residents reportmeetingindividuals on the online dating platform Tinder, where, after establishing trust, the individuals steer the conversation to investing in crypto assets. The individuals introduced the residents to an online cryptocurrency trading platforms named ""Onchain Wallet,"" operating at four different websites at onchainiy.com, onchain-bit.com, onchainwallet.info, and nad-ex.com. Following the individuals’ instructions, the residents opened accounts on these platforms and began trading crypto assets, believing they were making profits. But when the residents tried to withdraw their funds, the platform demanded a fee before releasing the funds.One resident reports being approached through WeChat by a group promoting investment, employment, and commission-based opportunities, who persuaded them to invest crypto assets through the same platform .Ultimately, whether or not they paid the fees, none of the residents have been able to recover their funds, and the websites are no longer operational.",Fraudulent Trading PlatformPig Butchering Scam,onchainiy.comonchain-bit.comonchainwallet.infonad-ex.com
Stack Stash,"A California resident reports on their experience with a crypto asset investment platform, Stack Stash, operating at stackstash.co. The resident deposited over $700 onto the platform.  However, when the resident attempted to withdraw funds from the platform, the platform demanded the resident to deposit additional funds before permitting any withdrawal. The resident has been unable to recover their funds and the websiteis no longer operational.",Fraudulent Trading Platform,http://stackstash.co/
luminobit.com,"A California resident reports investing $15,000 on luminobit.com who marketed themselves as a new ICO, which ceased operations just 10 days later. The resident reports sending cryptocurrency to wallet address: 0x392DcdC7351AFC41cc222557f79518836d9B6CCC. The individual has been unable to recover the funds, and the website is no longer operational.",Rug Pull Scam,luminobit.com
btop chains,"A California resident reports that when attempting to withdraw 150,000 USDCof their own funds from a crypto asset trading platformat btopchains.com, the request was rejected and their account was frozen. The platform then demanded an advance fee equal to 20% of the resident’s total assets to restore their account access. The platform’s domain name was then changed to bkchaintops.com.The resident has not been able to recover any of their funds. The websites are no longer in operation.",Fraudulent Trading Platform,btopchains.com
Cryptomia AI Forex Brain,"A California resident reports opening an account on the online crypto asset trading platform operating at Cryptomia.aiforexbrain.com and deposited funds to trade crypto assets. The resident has not been able to recover any of their investment. The website is no longer in operation. All told, the resident lost at least $20,000 on the platform.",Fraudulent Trading PlatformPig Butchering Scam,cryptomia.aiforexbrain.com
Kine Protocol,"A California consumer reports meeting a person online who introduced them to Kine Protocol, a decentralized crypto exchange, operating at akineprot.vip.The person also claimed they would teach the consumer how to trade cryptocurrency on the platform. The consumer’s initial investments appeared to do well and gradually they increased the amounts invested.Eventually, after appearing to make significant profits, the consumer tried to withdraw funds. But the platform denied the withdrawal and demanded a payment of a “tax” that could not be paid using funds already on the platform. The consumer declined to pay the “tax” and has not recovered any funds. The website is no longer in operation.",Fraudulent Trading PlatformPig Butchering Scam,akineprot.vip
Dusk Digital,"A Californian reports on their experience with the crypto asset trading site Dusk Digital, operating at duskseodigital.com.  The resident transferred $13,000 worth of crypto assets onto the Dusk Digital platform for trading.  However, when they tried to withdraw their funds, their account was frozen, and the site demanded the resident pay an additional $13,000 to unlock their account.  The site is no longer operational.",Fraudulent Trading Platform,duskseodigital.com
